Saldo;Ahorro general;Sexo;Saldo_por_vencer;Saldo_pendiente;Provision;Dias_Mora;edad_cliente;estado_civil;Mora;Antiguedad_meses;Ingresos;Descuentos;Calificacion;Puntaje
63398.0;24.0;Masculino;8.099.277.127.092.170;0.0;8.757.281.564.961.600;0.0;29.0;SOLTERO;0.00026199552027031717;211.310.813.594.307;11.468.684.814.789.300;5.514.492.946.450.390;A1;13.828.117.184.914.100
20722.0;0.0;Masculino;50.287.158.384.701.400;0.0;4.807.275.136.959.820;0.0;27.0;SOLTERO;0.0;14.019.429.683.643.600;7.591.135.412.864.610;4.815.281.849.177.470;A1;705.753.491.646.719
23979.0;0.0;Femenino;1.788.067.440.870.910;0.0;17.858.095.145.790.700;0.0;43.0;CASADO;0.0;3.253.333.333.333.330;951.58;607.33;A1;7.858.882.761.724.330
38966.0;0.0;Femenino;18.002.057.677.167.300;0.0;1.800.175.606.851.090;0.0;32.0;SOLTERO;0.0;3.996.666.666.666.660;744.72;584.27;A1;10.611.727.799.160.700
38451.0;44.0;Masculino;4.587.364.882.902.760;0.21232066567580896;534.211.566.080.654;0.0;37.0;SOLTERO;0.0027653191591786993;15.085.856.212.624.700;8.744.163.321.561.400;4.392.414.360.571.810;A1;10.450.829.415.006.700
28844.0;12.0;Masculino;2.554.616.672.678.650;0.30835911830970636;26.441.902.085.997.800;0.0;31.0;SOLTERO;0.005098250565664038;50.997.767.684.111.400;8.878.590.701.153.670;698.749.837.418.525;A1;6.593.782.654.723.990
53052.0;20.0;Masculino;7.515.190.899.878.770;1.599.262.428.525.360;77.145.136.041.876.200;0.0;35.0;SOLTERO;0.0;7.111.702.862.782.100;9.013.814.666.660.140;6.083.129.753.625.220;A1;12.023.807.756.584.300
23523.0;0.0;Masculino;18.560.322.180.580.400;0.0;1.940.664.454.718.110;0.0;30.0;SOLTERO;0.0;662.404.144.146.581;6.935.342.362.192.940;6.449.696.959.809.730;A1;8.117.260.220.483.970
22495.0;3.0;Masculino;30.585.439.044.524.100;0.864249371915036;21.415.692.119.540.000;0.0;25.0;SOLTERO;0.001732105934003162;2.512.999.380.738.450;6.425.227.771.081.610;44.816.886.107.716.900;A1;8.168.285.572.266.900
14576.0;18.0;Masculino;4.599.078.480.014.550;0.3505581421658245;4.006.197.688.518.290;0.0;26.0;SOLTERO;0.0;1.773.482.338.895.640;555.696.659.203.123;4.374.940.013.211.950;A1;5.165.860.005.208.170
17626.0;7.0;Femenino;16.788.097.454.948.900;0.0;16.756.847.435.907.800;0.0;25.0;SOLTERO;0.0;27.0;645.52;368.34;A1;6.674.224.302.551.140
51189.0;0.0;Masculino;8.842.603.012.007.820;0.0;8.155.426.783.549.740;0.0;33.0;SOLTERO;0.0;28.510.879.852.693.300;7.789.877.217.481.690;5.894.452.974.229.260;A1;12.123.201.585.428.300
190041.0;12.0;Masculino;14.528.750.024.184.300;0.1168475430787058;14.048.464.840.800.200;0.0;53.0;SOLTERO;0.00064939945369477;12.417.899.657.305.300;3.085.528.512.900.390;211.599.598.081.709;A1;37.673.178.735.325.800
43452.0;0.0;Femenino;5.775.727.785.209.550;0.0;5.777.582.062.912.040;0.0;29.0;SOLTERO;0.0;31.066.666.666.666.600;654.56;422.55;A1;10.743.417.417.475.500
106793.0;0.0;Femenino;4.350.839.522.734.340;0.0;4.350.608.963.087.600;0.0;37.0;CASADO;0.0;10.196.666.666.666.600;638.2;550.27;A1;20.565.576.304.248.300
49437.0;0.0;Femenino;395.239.136.260.663;0.0;3.956.891.067.766.750;0.0;32.0;SOLTERO;0.0;38.1;787.17;605.62;A1;12.176.395.033.559.700
45850.0;0.0;Masculino;13.700.466.289.235.400;0.0;12.755.894.539.528.800;0.0;35.0;SOLTERO;5,20E+11;44.150.035.111.655.200;7.395.602.369.959.710;6.857.070.465.720.380;A1;10.923.682.670.551.200
62503.0;26.0;Masculino;8.690.340.396.830.230;0.04399873612050624;8.970.729.750.713.330;0.0;42.0;SOLTERO;0.0;18.471.756.030.930.800;28.054.854.402.508;16.677.028.344.115.500;A1;15.014.865.889.256.600
38145.0;23.0;Masculino;3.040.001.748.469.170;0.0;29.748.960.948.068.400;0.0;32.0;SOLTERO;0.0;2.866.499.031.477.170;595.079.703.166.227;50.511.230.859.535.100;A1;10.196.556.107.708.200
63593.0;0.0;Masculino;2.309.546.240.240.480;0.12862831677034073;31.673.178.074.475.100;0.0;31.0;SOLTERO;0.0;61.692.846.285.499.800;9.982.068.650.218.240;7.229.483.461.393.720;A1;14.252.395.363.113.000
17631.0;7.0;Masculino;7.642.161.082.021.190;0.0;7.638.733.431.358.440;0.0;33.0;SOLTERO;0.0;25.533.333.333.333.300;670.31;585.79;A1;6.053.654.819.941.560
42172.0;0.0;Masculino;6.115.395.999.172.470;0.0;6.115.028.615.092.850;0.0;43.0;CASADO;0.0;26.4;761.68;531.53;A1;10.346.094.062.450.100
41548.0;0.0;Femenino;3.099.137.582.251.190;0.0;3.099.951.588.596.170;0.0;21.0;SOLTERO;0.0;19.233.333.333.333.300;681.71;514.91;A1;10.985.339.593.131.300
48573.0;0.0;Femenino;17.969.139.736.617.600;0.0;17.965.893.370.389.400;0.0;32.0;SOLTERO;0.0;3.996.666.666.666.660;744.72;584.27;A1;12.407.202.622.363.300
26394.0;0.0;Masculino;13.380.643.871.849.400;0.0;20.206.107.479.354.600;0.0;34.0;SOLTERO;0.0003740572814961235;33.791.830.728.403.500;5.627.383.636.355.000;425.302.849.075.699;A1;704.658.694.566.824
13107.0;16.0;Masculino;16.989.392.921.623.000;0.0;1.635.922.390.074.190;0.0;26.0;SOLTERO;4,07E+11;8.675.732.997.212.720;2.894.625.858.461.530;24.857.001.112.304.800;A1;5.381.752.562.874.810
47311.0;0.0;Femenino;4.622.449.875.952.250;0.0;462.248.002.309.106;0.0;31.0;SOLTERO;0.0;7.466.666.666.666.660;1142.22;601.23;A1;737.838.335.001.809
37058.0;209.0;Masculino;2.868.926.344.593.300;0.0;3.026.453.149.822.600;0.0;52.0;SOLTERO;0.0;31.714.240.796.216.300;46.888.155.859.765.800;27.694.585.231.099.800;A1;8.319.968.889.186.460
47091.0;11.0;Masculino;8.952.312.084.479.000;14.298.769.633.764.700;8.613.905.677.560.150;0.0;32.0;SOLTERO;0.0034565353057221214;3.758.908.021.069.800;7.893.115.848.397.890;5.959.235.735.354.290;A1;11.044.932.895.063.100
16808.0;0.0;Masculino;4.487.661.775.104.870;0.0;11.612.740.685.142.900;0.0;35.0;SOLTERO;0.0;8.579.432.873.360.640;7.377.617.481.391.910;6.047.875.470.782.600;A1;7.066.376.626.908.340
14548.0;3.0;Femenino;7.377.173.099.325.260;0.0;7.380.647.913.424.580;0.0;27.0;SOLTERO;0.0;51.333.333.333.333.300;951.99;617.55;A1;5.556.064.550.352.050
44451.0;0.0;Masculino;3.050.417.002.498.910;0.0;3.553.238.965.634.740;0.0;36.0;SOLTERO;0.0;20.100.954.496.344.500;6.615.207.289.006.290;5.469.968.136.557.990;A1;10.932.772.516.103.700
44540.0;0.0;Masculino;314.225.480.499.128;14.283.101.397.978.800;3.719.634.994.490.370;0.0;27.0;SOLTERO;0.00035726398986309245;25.732.730.760.127.000;701.111.909.420.924;5.686.264.543.336.110;A1;11.357.480.272.573.400
7877.0;24.0;Masculino;17.276.475.067.950.800;10.040.833.542.184.000;5.430.579.213.552.560;1.0;29.0;SOLTERO;0.038842565114327016;397.242.241.923.364;867.355.001.469.804;5.509.596.533.414.400;A1;5.053.820.138.236.060
101185.0;0.0;Masculino;4.366.782.963.865.000;0.33281422126326154;4.400.716.055.373.510;0.0;38.0;SOLTERO;0.003445136426711854;9.788.623.903.093.190;14.832.024.014.620.200;10.536.808.891.203.700;A1;17.039.831.065.067.100
111691.0;6.0;Masculino;4.165.942.314.444.670;0.0;4.217.577.620.176.660;0.0;43.0;SOLTERO;0.004859902213292247;20.171.507.677.266.900;28.003.911.231.838.400;2.082.789.226.041.900;A1;19.483.465.298.168.600
216347.0;3.0;Femenino;560.572.245.887.252;0.0;5.603.468.350.372.100;0.0;48.0;DIVORCIADO;0.0;17.221.462.184.088.100;4.886.968.225.825.450;2.988.484.104.180.270;A1;30.526.677.623.128.400
13772.0;27.0;Masculino;11.408.795.099.885.300;0.0;12.666.018.275.174.300;0.0;30.0;SOLTERO;0.0008263027788463813;3.983.958.722.827.690;6.711.276.818.133.550;3.425.945.307.119.440;A1;623.680.859.819.975
93546.0;0.0;Femenino;2.893.911.774.435.070;0.0;2.893.956.559.805.800;0.0;37.0;CASADO;0.0;16.053.333.333.333.300;638.67;523.1;A1;1.833.262.357.138.460
18974.0;0.0;Masculino;7.748.544.900.627.530;0.0;9.997.436.012.247.670;0.0;31.0;SOLTERO;0.002887441380713463;6.243.573.882.977.090;9.941.136.938.796.470;7.245.527.034.365.050;A1;5.598.381.772.721.790
87644.0;0.0;Femenino;4.151.313.957.454.540;0.0;4.151.398.580.497.700;0.0;32.0;CASADO;0.0;123.3;1404.31;1300.25;A1;15.647.309.832.305.800
25385.0;12.0;Masculino;12.611.423.613.155.800;13.853.676.053.975.200;19.840.606.616.791.000;0.0;31.0;SOLTERO;0.000816828792868332;12.361.836.303.572.600;14.174.407.015.787.400;13.014.417.823.910.400;A1;7.833.108.384.110.160
21522.0;3.0;Femenino;1.093.031.805.771.340;0.0;10.933.104.539.668.600;0.0;31.0;SOLTERO;0.0;8.400.689.175.327.690;10.919.650.168.958.800;6.174.212.475.295.090;A1;6.515.363.980.115.300
55420.0;0.0;Masculino;2.784.041.701.616.370;0.0;27.852.302.116.514.800;0.0;37.0;SOLTERO;0.0;3.155.246.115.353.910;9.307.631.393.636.260;6.205.067.643.120.020;A1;1.427.466.728.240.000
190317.0;0.0;Masculino;1.382.870.820.097.670;0.0;13.838.257.176.205.800;0.0;41.0;CASADO;0.0;115.8;3209.43;2573.78;A1;38.782.791.449.893.800
28816.0;5.0;Masculino;32.350.074.305.267.500;0.0;3.652.864.784.317.420;0.0;29.0;SOLTERO;0.0005224916421549228;11.604.028.625.948.500;8.638.846.025.670.060;7.917.689.561.158.150;A1;8.801.997.514.963.560
24236.0;3.0;Masculino;1.652.352.734.303.520;0.0;16.520.534.061.380.800;0.0;57.0;CASADO;0.0;15.430.390.456.258.800;12.601.042.124.943.000;10.324.971.061.697.300;A1;5.813.377.300.147.970
23416.0;7.0;Femenino;18.593.027.558.930.300;0.0;18.573.743.479.475.200;0.0;43.0;CASADO;0.0;3.253.333.333.333.330;951.58;607.33;A1;7.774.502.981.600.770
43846.0;0.0;Femenino;4.626.466.694.601.580;0.0;4.625.483.460.035.820;0.0;24.0;SOLTERO;0.0;19.833.333.333.333.300;740.25;460.83;A1;11.215.867.328.648.200
59616.0;5.0;Masculino;23.298.394.599.333.100;0.0;15.357.578.419.772.900;0.0;38.0;SOLTERO;0.002485216170819277;14.057.361.592.248.700;8.947.887.290.023.500;6.967.018.938.661.830;A1;1.460.982.003.454.520
230110.0;8.0;Masculino;15.607.459.273.649.800;0.7575277739289049;15.665.169.875.149.800;0.0;43.0;SOLTERO;0.0;20.399.044.672.534.100;281.057.873.400.453;2.112.364.448.237.710;A1;2.897.690.772.227.400
24984.0;3.0;Masculino;11.432.150.267.088.500;0.0;11.407.107.379.274.500;0.0;29.0;SOLTERO;0.0;10.086.667.948.447.700;14.303.285.561.589.900;6.959.082.585.313.710;A1;7.365.407.846.605.600
27268.0;3.0;Femenino;5.430.452.646.038.330;0.0;5.426.668.977.745.120;0.0;35.0;SOLTERO;0.0;12.809.615.776.180.900;7.095.474.604.177.690;45.096.501.720.123.900;A1;7.659.546.002.512.550
13267.0;21.0;Masculino;3.447.306.537.372.940;2.236.601.946.504.200;4.189.919.619.524.970;0.0;28.0;SOLTERO;0.006956523143047311;1.792.650.185.376.720;5.734.344.112.879.060;4.990.316.575.159.650;A1;5.001.453.886.976.120
42284.0;0.0;Femenino;13.791.464.460.846.000;0.0;13.807.102.210.473.900;0.0;32.0;SOLTERO;0.0;32.733.333.333.333.300;640.9;568.84;A1;11.169.312.769.486.700
25979.0;0.0;Masculino;2.409.877.773.073.070;1.512.243.435.613.920;2.280.132.692.373.900;0.0;47.0;SOLTERO;0.0;23.030.243.633.976.300;25.780.369.796.597.000;2.203.259.462.425.190;A1;5.953.870.405.350.650
42298.0;0.0;Femenino;30.057.012.583.880.800;0.0;30.052.111.178.513.300;0.0;30.0;SOLTERO;0.0;25.133.333.333.333.300;601.3;551.3;A1;11.110.125.223.374.000
108731.0;0.0;Masculino;16.285.063.549.496.300;0.22462847805271266;34.770.509.429.891.300;0.0;27.0;SOLTERO;0.0;3.642.062.829.615.550;7.436.854.800.219.010;481.922.089.332.539;A1;23.665.678.231.285.200
34299.0;0.0;Femenino;18.443.229.974.109.700;0.0;18.425.742.350.239.600;0.0;22.0;SOLTERO;0.0;22.054.703.219.444.900;76.549.747.657.483;4.938.765.835.789.850;A1;12.182.516.040.154.700
44332.0;0.0;Femenino;34.689.426.051.011.500;0.0;3.466.525.219.069.440;0.0;44.0;CASADO;0.0;32.733.333.333.333.300;636.8;577.81;A1;11.364.120.825.876.100
40667.0;0.0;Femenino;47.692.059.085.987.800;0.0;4.767.931.525.063.160;0.0;24.0;SOLTERO;0.0;17.833.333.333.333.300;705.14;583.53;A1;10.593.535.899.385.900
41179.0;0.0;Masculino;866.66;0.0;8.67;0.0;43.0;CASADO;0.0;26.4;761.68;531.53;A1;10.152.071.628.080.200
37523.0;58.0;Masculino;13.560.553.220.512.700;0.0;14.326.958.624.439.000;0.0;30.0;SOLTERO;0.003668779910667529;760.814.468.517.231;8.948.693.801.590.840;6.095.498.559.389.970;A1;10.119.273.925.282.100
11413.0;0.0;Masculino;20.182.655.141.753.600;0.0;11.124.952.277.635.300;0.0;34.0;SOLTERO;0.0007753413425123388;13.335.059.063.699.500;8.525.886.402.719.520;7.574.568.718.175.390;A1;562.939.807.569.547
60945.0;8.0;Femenino;20.345.069.360.352.900;0.0;20.345.578.506.954.800;0.0;43.0;CASADO;0.0;25.565.609.061.693.900;26.925.048.719.854.600;19.904.641.615.992.700;A1;2.664.640.296.699.080
154799.0;0.0;Masculino;4.214.521.884.060.730;12.114.577.960.203.600;4.185.637.580.987.790;0.0;32.0;SOLTERO;0.0;24.426.358.726.960.600;2.670.834.393.034.220;1.745.635.240.114.030;A1;3.293.958.986.111.580
35185.0;9.0;Masculino;2.842.344.263.818.970;0.6541377916086805;26.699.930.361.691.600;0.0;31.0;SOLTERO;0.0;292.117.906.658.753;8.679.418.798.956.750;7.244.635.822.726.570;A1;10.014.511.830.489.400
21177.0;0.0;Masculino;5.731.183.230.818.500;0.6079723810174502;4.667.507.121.472.130;0.0;35.0;SOLTERO;0.0027738223853506832;1.593.761.057.007.200;9.103.133.019.909.460;5.673.194.833.822.240;A1;8.164.365.650.041.950
130555.0;19.0;Femenino;11.379.735.147.340.700;0.0;1.138.306.554.354.270;0.0;46.0;CASADO;0.0;2.980.897.365.526.710;2.451.851.911.981.040;22.982.001.785.291.100;A1;10.510.760.818.169.600
23502.0;0.0;Femenino;4.431.892.391.405.370;0.0;4.432.785.041.392.010;0.0;44.0;CASADO;0.0;34.3;985.78;757.06;A1;738.043.279.456.871
15918.0;0.0;Masculino;7.006.499.779.173.360;0.0;559.055.205.638.276;0.0;32.0;SOLTERO;0.003551664424827943;5.978.245.218.788.980;7.354.317.077.906.820;5.351.006.755.590.510;A1;5.999.545.432.419.770
48716.0;0.0;Femenino;15.942.397.694.313.400;0.0;1.593.967.964.621.570;0.0;30.0;SOLTERO;0.0;25.133.333.333.333.300;601.3;551.3;A1;1.272.093.736.934.180
120202.0;23.0;Masculino;15.037.374.182.277.900;14.201.744.058.777.900;15.031.851.434.522.700;0.0;40.0;SOLTERO;0.0;23.487.168.373.111.400;12.577.416.776.594.000;10.778.258.403.887.200;A1;2.485.652.924.964.010
21929.0;3.0;Femenino;39.917.870.263.551.000;0.0;3.992.505.828.210.140;0.0;33.0;SOLTERO;0.0;7.851.604.378.202.890;7.483.533.124.456.820;6.362.840.704.283.810;A1;7.380.124.020.595.800
25085.0;4096.0;Masculino;45.160.930.843.020.700;25.170.528.510.249.400;1.501.908.891.881.350;32.0;33.0;SOLTERO;0.1233247580650024;17.292.924.173.951.000;16.355.385.633.925.200;15.937.541.426.271.400;A1;5.331.339.287.912.840
154467.0;0.0;Masculino;6.301.773.873.975.140;0.0;6.298.909.811.620.040;0.0;42.0;SOLTERO;0.0;19.285.871.996.139.600;10.937.655.963.331.500;9.333.547.661.683.900;A1;2.105.622.938.014.900
10226.0;2.0;Masculino;59.138.951.623.817.300;0.21514025245715512;0.0;0.0;38.0;SOLTERO;0.003778247581444736;1.016.802.155.759.390;12.639.109.036.227.600;11.968.875.181.852.100;A1;5.243.781.375.307.380
19481.0;23.0;Masculino;10.562.893.883.744.500;15.763.637.451.073.700;0.8263503996643621;0.0;24.0;SOLTERO;0.0;4.026.377.191.006.480;11.206.150.765.939.300;6.062.948.310.192.710;A1;6.995.288.600.528.790
26063.0;3.0;Masculino;14.722.271.869.717.400;0.0;14.719.453.081.005.900;0.0;33.0;SOLTERO;0.0;15.542.279.420.764.300;8.418.279.199.666.070;7.242.009.387.164.040;A1;56.004.466.024.866
52626.0;0.0;Masculino;2.079.191.207.763.670;0.0;20.779.720.158.093.400;0.0;24.0;SOLTERO;0.0;11.733.333.333.333.300;697.7;523.52;A1;13.063.316.356.114.700
12094.0;3.0;Masculino;10.248.151.550.943.100;0.0;1.023.301.153.879.700;0.0;41.0;CASADO;0.0;9.330.078.476.821.730;9.393.770.829.309.340;8.199.809.101.597.640;A1;5.621.567.952.863.990
158983.0;8.0;Masculino;16.357.446.425.578.900;0.8752515752923371;27.718.394.331.498.600;0.0;47.0;SOLTERO;0.0;6.693.855.406.526.850;16.350.572.790.874.200;1.183.488.671.824.330;A1;32.851.869.005.723.100
17411.0;21.0;Masculino;15.198.841.072.786.500;0.0;23.446.626.377.086.900;0.0;36.0;SOLTERO;0.0;30.502.161.017.014.700;8.656.010.003.964.510;7.449.042.261.703.100;A1;6.690.115.234.141.480
35965.0;4.0;Femenino;5.082.405.791.134.270;0.0;5.081.681.446.233.710;0.0;32.0;SOLTERO;0.0;10.704.974.860.671.000;9.947.610.201.957.970;4.906.450.925.237.590;A1;7.659.546.002.512.550
13069.0;18.0;Masculino;394.096.849.010.542;0.0;35.009.082.344.747.400;0.0;33.0;SOLTERO;0.0;10.681.405.419.225.500;14.168.372.999.447.900;12.777.068.056.243.300;A1;5.662.631.127.273.070
47049.0;10.0;Masculino;22.745.753.508.352.000;0.0;0.5849928422981034;0.0;27.0;SOLTERO;0.0;40.921.856.310.396.900;6.775.083.115.517.950;3.752.567.435.409.710;A1;12.257.684.151.110.500
48667.0;0.0;Femenino;17.593.847.201.516.900;0.0;1.762.691.677.257.970;0.0;27.0;SOLTERO;0.0;25.266.666.666.666.600;749.34;656.58;A1;1.233.843.891.211.010
16247.0;8.0;Masculino;6.329.777.178.408.110;0.0;522.624.342.816.394;0.0;30.0;SOLTERO;0.0010558570379148007;5.302.503.249.586.360;7.463.664.041.292.550;6.840.626.299.425.750;A1;6.109.190.225.391.200
17281.0;0.0;Masculino;17.758.645.098.905.300;0.0;2.129.726.636.418.740;0.0;36.0;SOLTERO;3,87E+10;4.876.911.765.951.500;7.891.679.003.235.360;4.530.996.820.350.980;A1;6.101.972.178.724.330
22418.0;26.0;Masculino;0.0;0.579312598374733;0.23546472589057585;0.0;32.0;SOLTERO;0.0;1.838.376.081.085.630;6.952.222.668.609.770;5.373.917.374.813.250;A1;8.221.544.143.113.280
498375.0;3.0;Masculino;14.706.400.901.565.900;1.461.345.823.765.490;147.454.452.257.216;0.0;42.0;SOLTERO;0.002329748420146923;22.373.222.661.353;16.511.010.036.471.000;14.201.669.069.078.400;A1;805.997.361.257.805
32996.0;4.0;Femenino;17.361.571.782.932.200;0.0;17.362.827.980.327.600;0.0;41.0;CASADO;0.0;1.046.474.125.179.090;9.032.164.383.292.680;8.223.772.566.053.210;A1;8.030.060.064.213.900
15708.0;7.0;Masculino;540.462.627.848.919;0.0;5.406.238.441.161.480;0.0;27.0;SOLTERO;0.0;22.234.730.549.002.700;6.259.652.120.493.520;4.215.003.037.915.940;A1;5.939.081.131.545.070
171340.0;108.0;Masculino;10.971.500.451.786.000;13.197.176.236.379.600;10.683.204.850.836.400;0.0;35.0;SOLTERO;0.0;9.982.593.324.670.590;7.351.365.498.395.590;6.037.771.287.826.810;A1;35.283.572.392.373.400
44941.0;0.0;Femenino;9.839.827.022.380.780;0.0;9.839.894.093.773.930;0.0;26.0;SOLTERO;0.0;31.066.666.666.666.600;913.16;664.56;A1;11.250.892.116.339.100
49262.0;0.0;Femenino;15.234.187.017.026.100;0.0;15.265.686.338.337.300;0.0;23.0;SOLTERO;0.0;18.866.666.666.666.600;801.61;465.89;A1;1.249.458.373.834.020
24999.0;0.0;Femenino;13.887.180.739.313.000;0.0;13.886.707.702.217.300;0.0;24.0;SOLTERO;0.0;37.1;743.95;553.22;A1;6.823.651.692.264.500
23886.0;0.0;Femenino;11.977.700.002.428.200;0.0;11.980.622.848.741.500;0.0;29.0;SOLTERO;0.0;31.066.666.666.666.600;654.56;422.55;A1;7.111.557.453.175.430
15263.0;0.0;Femenino;4.505.425.628.509.670;0.0;4.506.395.209.348.450;0.0;31.0;SOLTERO;0.0;16.433.333.333.333.300;533.76;330.21;A1;5.934.561.638.895.990
72808.0;2.0;Masculino;24.239.395.290.981.500;1.506.775.028.281.660;23.251.768.940.982.300;0.0;41.0;SOLTERO;0.0;1.391.890.857.852.300;8.095.306.779.025;49.254.120.729.285.800;A1;1.477.648.177.452.020
23196.0;24.0;Masculino;6.622.561.289.432.410;16.180.450.660.722.400;5.927.716.269.006.370;0.0;39.0;SOLTERO;0.0013844140492313935;3.944.695.754.494.800;671.132.581.770.722;6.395.278.713.694.550;A1;7.034.360.419.075.600
52086.0;0.0;Femenino;24.949.272.789.685.400;0.0;2.493.677.778.970.270;0.0;30.0;SOLTERO;0.0;25.133.333.333.333.300;601.3;551.3;A1;14.087.055.073.669.300
124845.0;20.0;Masculino;4.213.410.659.116.650;0.0;42.132.509.361.115.600;0.0;37.0;UNION LIBRE;0.0;108.5;927.01;775.85;A1;2.197.460.459.463.980
25242.0;12.0;Masculino;45.118.249.559.267.000;0.0;27.235.479.763.250.900;0.0;43.0;SOLTERO;0.0;31.960.250.297.127.900;6.283.366.219.164.200;5.662.985.669.405.320;A1;7.808.242.204.549.970
41183.0;0.0;Femenino;10.618.047.404.515.900;0.0;10.618.217.726.038.900;0.0;30.0;SOLTERO;0.0;24.746.001.762.692.400;7.554.666.949.758.870;6.410.557.453.830.340;A1;9.905.541.550.922.160
112120.0;17.0;Femenino;44.901.854.066.538.200;0.0;4.489.397.527.110.020;0.0;47.0;SOLTERO;0.0;1.874.303.417.567.030;8.497.356.794.542.570;7.796.568.723.111.200;A1;23.882.468.830.552.900
24296.0;3.0;Masculino;21.546.110.508.453.600;0.0;2.154.416.912.375.920;0.0;57.0;CASADO;0.0;14.308.102.069.446.600;13.182.831.320.133.000;10.541.786.118.207.000;A1;5.804.679.873.715.250
22371.0;0.0;Masculino;13.400.048.640.187.900;0.7274853313347762;13.845.384.230.943.200;0.0;29.0;SOLTERO;0.0;6.827.887.365.483.490;15.023.757.177.778.400;7.559.897.496.920.520;A1;7.455.259.521.013.730
45054.0;0.0;Masculino;5.717.627.812.701.860;0.0;3.984.600.504.776.150;0.0;42.0;SOLTERO;0.0;10.141.286.556.063.100;10.231.084.101.487.400;7.587.769.254.384.160;A1;11.577.721.807.827.700
48041.0;0.0;Femenino;5.414.860.591.041.430;0.0;5.414.607.334.766.560;0.0;35.0;SOLTERO;0.0;7.466.666.666.666.660;743.81;693.81;A1;8.554.552.148.621.900
58247.0;0.0;Masculino;3.070.653.798.019.260;0.0;30.701.338.537.199.800;0.0;28.0;SOLTERO;0.0;3.506.666.666.666.660;736.21;578.28;A1;13.887.837.116.131.000
13746.0;0.0;Masculino;2.514.428.760.168.220;0.0;2.942.979.101.199.110;0.0;27.0;SOLTERO;0.0;11.139.744.823.607.100;7.532.722.079.086.140;4.885.729.271.808.470;A1;5.101.299.747.407.680
39218.0;5.0;Femenino;37.257.576.163.744;0.0;3.725.334.985.780.800;0.0;38.0;CASADO;0.0;1.582.657.688.613.860;2.099.872.720.023.170;16.649.809.995.075.600;A1;10.187.094.384.288.700
30759.0;0.0;Masculino;14.911.458.200.020.400;0.0;35.073.461.309.262.400;0.0;33.0;SOLTERO;0.0016771144723333384;33.252.621.129.428.500;6.744.085.599.364.990;6.247.448.289.912.790;A1;9.366.040.395.632.250
79773.0;0.0;Masculino;1.082.330.188.931.880;0.0;10.825.269.150.380.100;0.0;56.0;CASADO;0.0;3.253.333.333.333.330;1222.43;1033.22;A1;1.704.586.685.947.820
12547.0;33.0;Masculino;23.968.697.366.884.000;0.0;14.928.383.224.814.600;0.0;34.0;SOLTERO;0.0;12.149.806.278.026.700;5.678.334.359.033.240;42.969.550.908.458.500;A1;6.754.037.346.751.780
30983.0;0.0;Masculino;10.229.692.799.564.200;0.0;11.047.062.173.811.200;0.0;38.0;SOLTERO;0.0;14.311.131.168.873.300;6.243.282.822.570.060;6.084.256.866.629.970;A1;7.865.746.146.248.320
